date,open,high,low,close,volume
2014-05-07,2797.577,2797.577,2768.046,2768.451,13430331200
2014-05-08,2760.924,2804.919,2756.861,2768.014,13683534400
2014-05-09,2768.534,2770.666,2734.412,2752.848,13543200000
2014-05-12,2771.016,2815.313,2760.995,2814.106,19513243200
2014-05-13,2812.894,2821.242,2799.472,2809.571,16618507200
2014-05-14,2808.513,2819.053,2801.68,2807.937,13152214400
2014-05-15,2803.7,2805.638,2761.654,2763.497,13675611200
2014-05-16,2759.838,2765.798,2735.871,2760.306,12062033600
2014-05-19,2754.181,2754.181,2718.356,2734.654,11402699200
2014-05-20,2746.565,2762.395,2734.611,2740.789,11311532800
2014-05-21,2732.223,2765.505,2715.377,2765.505,11250184000
2014-05-22,2764.909,2796.39,2761.677,2763.344,14049849600
2014-05-23,2761.887,2789.855,2758.955,2789.855,12310250400
2014-05-26,2802.056,2812.595,2799.382,2812.252,13948372800
2014-05-27,2810.574,2816.16,2799.433,2801.61,13067121600
2014-05-28,2801.489,2834.581,2796.647,2833.387,16121552000
2014-05-29,2834.341,2841.777,2807.721,2807.799,15716908800
2014-05-30,2806.908,2822.206,2793.024,2812.155,14316406400
2014-06-03,2813.418,2826.135,2805.605,2805.939,13512260800
2014-06-04,2803.991,2804.05,2763.154,2781.954,13559265600
2014-06-05,2778.758,2814.583,2775.86,2814.325,13152530400
2014-06-06,2813.535,2815.242,2785.945,2800.262,13272310400
2014-06-09,2793.045,2815.69,2789.388,2791.165,12740178400
2014-06-10,2794.714,2826.11,2784.728,2826.066,15114809600
2014-06-11,2821.622,2836.263,2818.403,2834.224,14955737600
2014-06-12,2828.894,2836.93,2819.339,2827.937,15612736000
2014-06-13,2824.608,2862.492,2823.726,2858.132,18461348800
2014-06-16,2859.407,2880.376,2859.111,2877.473,18565331200
2014-06-17,2871.635,2871.635,2848.952,2850.275,17273819200
2014-06-18,2849.097,2852.728,2832.939,2834.033,16964240000
2014-06-19,2833.114,2839.205,2761.367,2773.126,17949881600
2014-06-20,2770.32,2793.513,2767.32,2793.449,13106732000
2014-06-23,2795.44,2816.065,2795.44,2806.457,13971232000
2014-06-24,2804.613,2823.374,2804.078,2823.209,14208097600
2014-06-25,2820.016,2820.016,2798.815,2809.014,13549849600
2014-06-26,2809.968,2842.006,2809.824,2839.676,16766174400
2014-06-27,2837.993,2863.267,2831.084,2851.294,19841945600
2014-06-30,2854.278,2875.739,2853.206,2875.344,20015476800
2014-07-01,2879.438,2884.481,2870.11,2884.265,20298254400
2014-07-02,2884.039,2897.976,2872.351,2897.535,21783497600
2014-07-03,2896.049,2920.451,2889.714,2914.799,24307691200
2014-07-04,2914.738,2918.479,2904.729,2911.076,21283478400
2014-07-07,2910.992,2919.854,2897.159,2909.615,19685724800
2014-07-08,2907.46,2923.967,2889.228,2923.688,19758916800
2014-07-09,2919.829,2924.844,2880.088,2880.613,23107497600
2014-07-10,2877.93,2891.238,2872.575,2876.897,19598432000
2014-07-11,2871.543,2899.321,2869.945,2892.868,20527201600
2014-07-14,2895.303,2927.801,2891.417,2927.797,22809729600
2014-07-15,2926.018,2930.866,2908.715,2925.128,24831305600
2014-07-16,2921.746,2932.474,2898.602,2907.06,24486715200
2014-07-17,2901.945,2901.95,2874.206,2890.516,19066678400
2014-07-18,2879.721,2912.349,2876.682,2897.002,19211672000
2014-07-21,2895.912,2903.365,2883.085,2894.517,17552043200
2014-07-22,2890.088,2933.683,2889.794,2931.31,22211163200
2014-07-23,2930.594,2943.631,2908.909,2919.56,24531420800
2014-07-24,2919.042,2942.091,2907.207,2938.45,28549056000
2014-07-25,2941.489,2967.133,2938.727,2967.133,24537356800
2014-07-28,2979.446,3036.49,2979.446,3035.288,38010028800
2014-07-29,3038.418,3067.963,3029.414,3057.031,34237884800
2014-07-30,3050.471,3065.867,3043.686,3058.965,31972185600
2014-07-31,3058.211,3089.15,3052.808,3089.054,29158096000
2014-08-01,3078.888,3106.616,3057.098,3058.653,33878073600
2014-08-04,3064.62,3111.217,3062.887,3111.217,29850697600
2014-08-05,3113.197,3119.191,3093.209,3118.932,31449196800
2014-08-06,3108.274,3130.328,3087.57,3122.618,31436902400
2014-08-07,3122.245,3132.688,3084.915,3086.341,30827910400
2014-08-08,3088.346,3108.378,3083.876,3100.805,24465278400
2014-08-11,3107.736,3146.911,3107.736,3146.767,27492816000
2014-08-12,3144.514,3150.258,3132.373,3150.046,28219740800
2014-08-13,3150.393,3161.167,3116.337,3151.462,31426025600
2014-08-14,3149.101,3164.705,3126.754,3129.168,30751280000
2014-08-15,3130.381,3167.031,3125.211,3162.779,28220464000
2014-08-18,3169.733,3196.869,3169.733,3196.869,31564636800
2014-08-19,3202.433,3208.556,3181.499,3203.565,34391100800
2014-08-20,3201.383,3211.621,3188.396,3197.243,31654636800
2014-08-21,3197.978,3199.901,3159.206,3192.984,30647241600
2014-08-22,3191.126,3216.079,3188.015,3212.504,29311878400
2014-08-25,3213.648,3213.979,3178.564,3186.192,29034892800
2014-08-26,3180.444,3191.684,3132.867,3143.266,29408064000
2014-08-27,3141.414,3162.27,3141.414,3153.167,22456825600
2014-08-28,3154.103,3162.477,3122.903,3128.228,22913060800
2014-08-29,3130.382,3163.465,3126.054,3163.416,18932963200
2014-09-01,3167.331,3204.654,3167.121,3204.555,23947220800
2014-09-02,3211.782,3249.981,3205.924,3249.981,34096313600
2014-09-03,3255.108,3280.851,3255.044,3277.319,37574736000
2014-09-04,3280.388,3304.756,3270.944,3304.756,36446496000
2014-09-05,3311.379,3327.327,3299.105,3326.792,37592550400
2014-09-09,3330.76,3339.327,3309.669,3336.276,35617148800
2014-09-10,3325.228,3341.435,3310.12,3337.427,34743443200
2014-09-11,3336.046,3376.961,3314.718,3330.679,40701174400
2014-09-12,3326.118,3361.658,3319.717,3361.658,34334118400
2014-09-15,3359.112,3381.742,3349.352,3379.947,38810387200
2014-09-16,3382.963,3387.255,3287.989,3289.848,52156828800
2014-09-17,3294.426,3312.277,3266.778,3311.88,36232544000
2014-09-18,3306.822,3332.274,3298.846,3329.809,32701580800
2014-09-19,3330.954,3361.333,3323.062,3358.104,30374134400
2014-09-22,3352.291,3352.291,3300.746,3308.434,31292387200
2014-09-23,3308.465,3346.371,3308.4,3345.852,28488790400
2014-09-24,3338.229,3397.437,3331.248,3396.849,38323289600
2014-09-25,3409.0,3427.73,3384.081,3394.836,39519724800
2014-09-26,3387.681,3404.137,3376.054,3403.216,31414640000
2014-09-29,3413.259,3430.208,3411.418,3428.748,35469993600
2014-09-30,3434.785,3447.764,3425.928,3444.717,33216467200
2014-10-08,3456.95,3489.708,3438.892,3489.708,35929235200
2014-10-09,3493.706,3504.711,3459.298,3499.159,42748716800
2014-10-10,3487.588,3500.812,3465.02,3482.063,41009241600
2014-10-13,3469.414,3474.906,3430.001,3474.642,36714691200
2014-10-14,3469.845,3496.127,3446.506,3464.743,35972729600
2014-10-15,3462.881,3483.745,3437.278,3483.46,35895654400
2014-10-16,3464.319,3501.607,3442.783,3442.783,41081968000
2014-10-17,3437.221,3451.956,3365.735,3419.324,36851670400
2014-10-20,3426.846,3454.636,3422.269,3454.636,27734553600
2014-10-21,3453.285,3462.507,3422.823,3425.041,28874998400
2014-10-22,3425.153,3441.741,3391.426,3393.293,26376156800
2014-10-23,3386.275,3398.386,3338.954,3348.922,28427971200
2014-10-24,3350.257,3370.649,3340.659,3350.71,22186164800
2014-10-27,3337.394,3352.83,3318.639,3351.835,22157400000
2014-10-28,3358.666,3429.624,3358.666,3429.542,30655910400
2014-10-29,3439.399,3489.182,3431.972,3477.859,43889942400
2014-10-30,3477.158,3498.929,3468.475,3489.96,45362636800
2014-10-31,3494.697,3512.216,3470.554,3510.72,48669075200
2014-11-03,3517.899,3538.25,3513.57,3533.408,45740041600
2014-11-04,3532.135,3538.932,3508.769,3523.298,46786464000
2014-11-05,3524.351,3528.562,3503.039,3515.16,40825763200
2014-11-06,3514.953,3531.935,3491.157,3531.785,35427552000
2014-11-07,3535.465,3563.736,3496.51,3511.744,45563942400
2014-11-10,3532.91,3566.396,3516.7,3566.396,44408275200
2014-11-11,3577.065,3586.469,3468.606,3499.258,59954592000
2014-11-12,3485.2,3552.151,3477.794,3552.151,36592716800
2014-11-13,3553.324,3559.136,3500.587,3519.254,43976172800
2014-11-14,3505.293,3517.21,3486.354,3514.632,33016345600
2014-11-17,3539.456,3555.652,3504.862,3528.758,32732633600
2014-11-18,3525.598,3536.611,3507.467,3519.918,30360796800
2014-11-19,3517.771,3542.671,3514.675,3529.697,29618428800
2014-11-20,3519.4,3534.407,3511.663,3526.773,26405678400
2014-11-21,3526.682,3576.225,3525.84,3575.874,33263312000
2014-11-24,3612.7,3657.748,3597.3,3641.002,55239577600
2014-11-25,3642.815,3694.15,3636.608,3694.15,49037798400
2014-11-26,3703.172,3730.728,3693.005,3730.455,52082358400
2014-11-27,3744.362,3765.199,3724.667,3765.199,56565235200
2014-11-28,3765.006,3801.682,3747.307,3801.611,68823833600
2014-12-01,3812.67,3827.844,3772.883,3789.727,65474688000
2014-12-02,3779.104,3892.88,3775.992,3879.901,62695897600
2014-12-03,3890.629,3947.539,3860.048,3928.619,83209497600
2014-12-04,3935.336,4051.751,3930.081,4051.312,79041580800
2014-12-05,4080.578,4092.406,3897.065,4018.927,93437676800
2014-12-08,4000.425,4131.516,3964.615,4115.814,84490624000
2014-12-09,4095.745,4204.732,3911.167,3935.365,109595520000
2014-12-10,3937.735,4078.064,3897.296,4074.052,73023769600
2014-12-11,4047.656,4120.012,4030.361,4078.678,70205132800
2014-12-12,4080.392,4122.592,4072.85,4105.878,59954233600
2014-12-15,4091.002,4160.416,4072.795,4153.422,60355097600
2014-12-16,4157.176,4210.718,4144.001,4210.718,65936448000
2014-12-17,4220.912,4235.501,4150.0,4225.942,76216371200
2014-12-18,4221.189,4252.649,4196.687,4212.881,61114144000
2014-12-19,4209.505,4221.764,4119.397,4217.024,72454707200
2014-12-22,4221.002,4222.863,4104.388,4136.18,91469715200
2014-12-23,4101.307,4159.286,4048.338,4055.344,59899724800
2014-12-24,4066.307,4083.652,3982.429,4027.006,52466304000
2014-12-25,4047.344,4126.016,4026.748,4125.632,51996108800
2014-12-26,4131.61,4214.862,4123.723,4210.809,62731910400
2014-12-29,4248.397,4253.181,4143.83,4186.363,70575129600
2014-12-30,4178.882,4197.198,4128.922,4152.926,55809228800
2014-12-31,4155.731,4222.192,4149.038,4219.002,56033068800
2015-01-05,4243.09,4330.562,4218.596,4310.693,74310118400
2015-01-06,4280.133,4348.266,4255.393,4338.934,70551961600
2015-01-07,4322.457,4355.395,4299.121,4341.894,55314515200
2015-01-08,4344.203,4351.56,4263.701,4277.761,52778531200
2015-01-09,4264.036,4375.972,4253.511,4257.059,56466144000
2015-01-12,4238.436,4254.431,4167.461,4209.383,45505353600
2015-01-13,4204.236,4252.942,4202.853,4236.69,34975360000
