ts_code,code,portfolio_weight,portfolio_seed_weight,score_seed,source_latest_portfolio,source_latest_scores,source_integrated_thesis,source_router,target_exposure,cash_buffer,price,price_date,price_source,integrated_thesis_score,integrated_thesis_state,primary_event_type,primary_mechanism_group,primary_event_fact_id,primary_reason_chain,mechanism_reason_chain,earnings_reason,earnings_reason_chain,thesis_reason_chain,thesis_gate_stage,thesis_reject_reason,mechanism_primary,router_final_score,router_allow_entry,router_signal_state,event_fact_backed,seed_weight_norm,pred_score_norm,router_score_norm,thesis_score_norm,selection_score,candidate_pool_basis,candidate_tier,industry,valuation_trade_date,pe_pct_1y,pb_pct_1y,ps_pct_1y,pe_pct_industry,pb_pct_industry,ps_pct_industry,crowding_trade_date,turnover_pct_rank,crowding_score,fund_exposure_proxy,northbound_holding_change,margin_balance_change,revision_trade_date,eps_revision_7d,eps_revision_30d,analyst_count,revision_score,fact_contract_count,fact_contract_amount,fact_government_contracts,has_bid_award,has_new_order,valuation_signal_score,revision_signal_score,order_flow_signal_score,event_drive_signal_score,industry_signal_score,liquidity_signal_score,data_activation_score,activation_alpha_family,alpha_family_horizon,alpha_family_capacity,alpha_family_style,alpha_family_objective,alpha_family_risk_budget,alpha_family_default_state,activation_llm_boost,alpha_activation_priority,llm_symbol_favored,llm_symbol_blocked,llm_mechanism_favored,llm_event_favored
002463.SZ,002463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.7,132.04,20260529,tushare_snapshot,0.0,,,,,,,,,,,,trend_capex,-0.04,False,exit,False,0.0,0.4116358517681971,0.0,0.0,0.3149798979181714,hard_data_only,F,,2026-05-29,0.9375,0.9375,0.9375,0.3392070484581498,0.8957654723127035,0.7980456026058632,2026-05-29,0.7341082455503087,0.4887813413401494,0.34008722514991824,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.32858446576426226,0.0,0.0,0.0,0.0,0.3952035524506603,0.3262805797102246,liquidity,short,low,tactical,intraday_liquidity_timing,low,shadow,0.0,0.24764137147778942,False,False,False,False
600918.SH,600918,0.02,0.0,-0.0061120570302047,0.0,1.0,0.0,0.0,0.3,0.7,5.44,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.0029862461094175056,0.20554984583761562,0.0,0.20791447443475153,hard_data_only,F,,2026-05-29,0.1875,0.0625,0.0625,0.74,0.3,0.04081632653061224,2026-05-29,0.15201598256447513,0.3145964335142229,0.9239505724150463,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.6248879961433391,0.0,0.0,0.0,0.0,0.35429457496496736,0.4774833248276582,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.24670416140628337,False,False,False,False
002067.SZ,002067,0.02,0.0,-0.0050850133932049,0.0,1.0,0.0,0.0,0.3,0.7,4.83,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.07165395898909764,0.20554984583761562,0.0,0.22385442752365486,hard_data_only,F,,2026-05-29,0.0625,0.125,0.0625,0.76,0.17647058823529413,0.35294117647058826,2026-05-29,0.7428260079912823,0.4114618093924795,0.011630019989096857,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.5671171838814265,0.0,0.0,0.0,0.0,0.3603227538543219,0.4473018143611548,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.24440076977186279,False,False,False,False
000761.SZ,000761,0.02,0.0,-0.0057781307133063,0.0,1.0,0.0,0.0,0.3,0.7,2.51,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.025312421576247145,0.20554984583761562,0.0,0.20967020445260767,hard_data_only,F,,2026-05-29,0.0,0.5,0.125,0.0,0.76,0.38461538461538464,2026-05-29,0.03814021067925899,0.21001037046199877,0.7561330183536253,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.6193422168382797,0.0,0.0,0.0,0.0,0.31498034593372964,0.46022456596557937,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.24211720593145278,False,False,False,False
600965.SH,600965,0.02,0.0,-0.0036632572208852,0.0,1.0,0.0,0.0,0.3,0.7,3.21,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.1667119887637189,0.20554984583761562,0.0,0.24416921552034407,hard_data_only,F,,2026-05-29,0.125,0.125,0.125,0.6521739130434783,0.12195121951219512,0.5714285714285714,2026-05-29,0.12658917544496912,0.07893714843912698,0.037252407777575866,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.558133818903602,0.0,0.0,0.0,0.0,0.2512378981419852,0.40300058191713184,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.23991295842694774,False,False,False,False
002175.SZ,002175,0.02,0.0,-0.0056051819630715,0.0,1.0,0.0,0.0,0.3,0.7,2.65,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.03687570350136077,0.20554984583761562,0.0,0.2104964778490461,hard_data_only,F,,2026-05-29,0.0,0.25,0.25,0.0,0.5794392523364486,0.6635514018691588,2026-05-29,0.48174718488921175,0.28613122245046935,0.08468108304561149,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.5985282213555081,0.0,0.0,0.0,0.0,0.3210119328322041,0.450740099778678,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.2394602030945606,False,False,False,False
601318.SH,601318,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.7,53.5,20260529,tushare_snapshot,0.5073,watch,policy_supply_chain,macro_style,825c450eed7d43f18abd235a5d7f2198,"['event_type:policy_supply_chain', 'event_strength:0.966', 'mechanism_group:macro_style', 'mechanism_fit:0.495', 'mechanism_state:0.151', 'router_allow_entry:true', 'expectation:model:market_implied_trailing_profit', 'risk_budget:0.900', 'new_position_policy:selective']","['mechanism_group:macro_style', 'mechanism_fit:0.495', 'mechanism_state:0.151', 'router_allow_entry:true']",expectation:model:market_implied_trailing_profit,['expectation:model:market_implied_trailing_profit'],"['event_type:policy_supply_chain', 'event_strength:0.966', 'mechanism_group:macro_style', 'mechanism_fit:0.495', 'mechanism_state:0.151', 'router_allow_entry:true', 'expectation:model:market_implied_trailing_profit', 'risk_budget:0.900', 'new_position_policy:selective']",earnings_soft_gate,,macro_style,0.1514,True,entry,True,0.0,0.4116358517681971,0.9835560123329908,0.9988186650915534,0.3038659183421684,hard_data_only,B,,2026-05-29,0.1875,0.1875,0.1875,1.0,0.4,0.6,2026-05-29,0.11205957137667999,0.2382864077243737,0.7066145738687989,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.33047244094488193,0.0,0.0,0.0,0.0,0.32290921732971223,0.3013118851678303,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.23477078846445493,False,False,False,False
002160.SZ,002160,0.02,0.0,-0.0060610375201274,0.0,1.0,0.0,0.0,0.3,0.7,4.47,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.006397389456241642,0.20554984583761562,0.0,0.1983210552220527,hard_data_only,F,,2026-05-29,0.0625,0.0625,0.0625,0.88,0.16666666666666666,0.13333333333333333,2026-05-29,0.4742099527787868,0.3068358265633137,0.18408141013992368,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.5946902887139107,0.0,0.0,0.0,0.0,0.330678014744329,0.4520706469877485,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.23426313741669275,False,False,False,False
300290.SZ,300290,0.02,0.0,-0.0057332596775253,0.0,1.0,0.0,0.0,0.3,0.7,11.16,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.028312480474060223,0.20554984583761562,0.0,0.20329458544977574,hard_data_only,F,,2026-05-29,0.0,0.0625,0.0625,0.0,0.8613138686131386,0.6187050359712231,2026-05-29,0.7490010897203051,0.5606876518629769,0.5949482100672361,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.5133789835767457,0.0,0.0,0.0,0.0,0.4262024224515718,0.4409251028855435,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.23274800593739264,False,False,False,False
601399.SH,601399,0.02,0.0,-0.006127063326314,0.0,1.0,0.0,0.0,0.3,0.7,3.84,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.001982931356763882,0.20554984583761562,0.0,0.1935900023845977,hard_data_only,F,,2026-05-29,0.0625,0.0625,0.0625,0.6764705882352942,0.2631578947368421,0.39473684210526316,2026-05-29,0.29622230294224483,0.3806444181719326,0.8708886062147919,,,2026-03-06,0.0,0.0,,0.5,,,,,,0.5534238560737184,0.0,0.0,0.0,0.0,0.3745965359816527,0.4447721123546773,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.22964889224905186,False,False,False,False
